id,category,subcategory,difficulty,question,answer,explanation,source,source_checked_date,status,app_ready,review_notes
P4-038,part4,妊産婦保護,basic,妊産婦が請求した場合には、時間外労働、休日労働、深夜業をさせてはならない。,○,正解！母性保護の規定です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-039,part4,隔日勤務拘束時間,basic,隔日勤務（タクシー等）の1拘束時間は「21時間」以内が基本である。,○,正解！タクシー特有の勤務形態（2日分を1回で働く）のルールです。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-040,part4,拘束時間と運転時間,basic,バス運転者が、運転以外の業務（荷物の積み込みや洗車など）を行っている時間は、運転時間には含まれないが、拘束時間には含まれる。,○,正解！ハンドルを握っていない時間は「運転時間」ではありませんが、労働しているので「拘束時間」です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-041,part4,改善基準告示違反,basic,改善基準告示違反があった場合、直ちに刑事罰（懲役や罰金）が科される。,×,不正解！告示は行政指導の基準であり、違反しても直ちに刑罰はありません（行政処分の対象にはなります）。労働基準法違反（36協定なし残業など）は刑罰の対象です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-042,part4,拘束時間延長回数,basic,1日の拘束時間が15時間を超えることができるのは、1週間について「3回」以内である。,×,不正解！15時間を超えることは認められていません（最大15時間です）。14時間を超えるのが週3回までです。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-043,part4,休息期間の意義,basic,バス運転者の休息期間は、勤務終了後、次の始業時刻までに与える連続した時間であり、睡眠時間を含む生活時間を指す。,○,正解！会社に拘束されない自由な時間です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-044,part4,退職時証明,basic,退職時の証明書（使用期間、業務の種類、地位、賃金など）は、労働者が請求した場合のみ交付すればよい。,○,正解！退職者全員に配る必要はありません。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-045,part4,均等待遇,basic,使用者は、労働者の国籍、信条または社会的身分を理由として、賃金、労働時間その他の労働条件について差別的取扱をしてはならない。,○,正解！均等待遇の原則です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-046,part4,休憩時間性,basic,貸切バスの運転者が、観光地で客待ちをしている間、バスを離れて自由に観光や食事ができる状態であれば、その時間は「休憩時間」とみなせる。,○,正解！指揮命令下から解放されていれば（労働から離れていれば）休憩扱いでOKです。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-047,part4,週運転時間の起算,basic,特定の日を起算日として2週間ごとに区切り、その期間内の運転時間が平均して週40時間以内であれば基準を満たす。,×,不正解！「4週間平均」で計算します。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-048,part4,副業・通算労働時間,basic,バス運転者が複数の会社で掛け持ち勤務をしている場合、労働時間は通算される。,○,正解！副業・兼業の場合、労働時間は会社が違っても合計されます。事業主はそれを把握する必要があります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-049,part4,36協定有効期間,basic,36協定の有効期間は、最長で「1年間」である。,○,正解！定期的な見直しが必要です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-050,part4,拘束時間の定義,basic,拘束時間とは、始業時刻から終業時刻までの時間で、休憩時間を含まない。,×,不正解！拘束時間は「労働時間 ＋ 休憩時間」の合計です。会社に拘束されている全時間（始業から終業まで）を指します。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-051,part4,法定労働時間,intermediate,労働基準法では、休憩を除く1週間の法定労働時間に上限はない。,×,法定労働時間は原則として1週40時間、1日8時間である。,労働基準法 / 厚生労働省,2026-05-19,approved,yes,6:4補正で誤問化
P4-052,part4,法定労働時間,intermediate,36協定を締結していなくても、使用者は自由に法定時間外労働を命じることができる。,×,時間外・休日労働には36協定の締結・届出が必要である。,労働基準法 / 厚生労働省,2026-05-19,approved,yes,batch1_reviewed
P4-053,part4,36協定,intermediate,36協定は、届出をしなくても口頭合意だけで効力を持つ。,×,36協定には書面締結と届出が必要である。,厚生労働省 36協定,2026-05-19,approved,yes,6:4補正で誤問化
P4-054,part4,36協定有効期間,intermediate,36協定の有効期間は、制限なく何年でも定められる。,×,一般に36協定の有効期間は最長1年で設定する。,厚生労働省 36協定,2026-05-19,approved,yes,6:4補正で誤問化
P4-055,part4,休憩時間,intermediate,労働時間が8時間を超えても、休憩時間は不要である。,×,8時間を超える場合は少なくとも1時間の休憩が必要である。,労働基準法 / 厚生労働省,2026-05-19,approved,yes,6:4補正で誤問化
P4-056,part4,休日,intermediate,法定休日は、労働者に全く与えなくてもよい。,×,休日は毎週1回又は4週間を通じ4日以上与える必要がある。,労働基準法 / 厚生労働省,2026-05-19,approved,yes,6:4補正で誤問化
P4-057,part4,時間外割増賃金,intermediate,法定時間外労働に対する割増賃金率は0%でも差し支えない。,×,法定時間外労働には少なくとも25%以上の割増賃金が必要である。,労働基準法 / 厚生労働省,2026-05-19,approved,yes,6:4補正で誤問化
P4-058,part4,休日割増賃金,intermediate,法定休日労働の割増賃金率は、通常賃金と同額でよい。,×,法定休日労働には少なくとも35%以上の割増賃金が必要である。,労働基準法 / 厚生労働省,2026-05-19,approved,yes,6:4補正で誤問化
P4-059,part4,解雇予告,intermediate,解雇予告は、解雇当日に伝えれば足りる。,×,30日前予告又は解雇予告手当が必要である。,労働基準法 / 厚生労働省,2026-05-19,approved,yes,6:4補正で誤問化
P4-060,part4,解雇制限,intermediate,業務上負傷して休業中の労働者でも、いつでも自由に解雇できる。,×,休業期間中とその後30日間は原則解雇できない。,労働基準法 / 厚生労働省,2026-05-19,approved,yes,6:4補正で誤問化
P4-061,part4,違約金・損害賠償予定,intermediate,使用者は、労働契約不履行に備えて違約金や損害賠償予定を自由に定めてよい。,×,違約金の定めや損害賠償額予定は禁止されている。,労働基準法 / 厚生労働省,2026-05-19,approved,yes,batch1_reviewed
P4-062,part4,賃金支払5原則,intermediate,賃金は、現物支給や不定期払いだけでも法的に問題ない。,×,賃金支払5原則に従う必要がある。,労働基準法 / 厚生労働省,2026-05-19,approved,yes,6:4補正で誤問化
P4-063,part4,年次有給休暇,intermediate,6か月継続勤務しても、年次有給休暇制度は一切適用されない。,×,一定要件を満たせば年次有給休暇が付与される。,労働基準法 / 厚生労働省,2026-05-19,approved,yes,6:4補正で誤問化
P4-064,part4,年次有給休暇,intermediate,年次有給休暇の請求権に時効はなく、何年でも遡って請求できる。,×,年次有給休暇の権利には時効がある。,労働基準法 / 厚生労働省,2026-05-19,approved,yes,batch1_reviewed
P4-065,part4,労働条件明示,intermediate,労働条件の明示は、使用者が口頭で伝えるだけで常に足りる。,×,重要な労働条件は原則として書面等で明示する必要がある。,厚生労働省 労働条件明示,2026-05-19,approved,yes,6:4補正で誤問化
P4-066,part4,就業規則意見聴取,intermediate,就業規則の作成・変更には、過半数代表者の意見聴取は不要である。,×,就業規則には過半数代表者の意見聴取が必要である。,労働基準法 / 厚生労働省,2026-05-19,approved,yes,6:4補正で誤問化
P4-067,part4,退職時証明,intermediate,退職時の証明書は、労働者が請求しても交付する必要はない。,×,請求があった場合は退職時証明を交付する必要がある。,労働基準法 / 厚生労働省,2026-05-19,approved,yes,6:4補正で誤問化
P4-068,part4,均等待遇,intermediate,国籍や信条を理由に、労働条件で差別してもよい。,×,国籍、信条、社会的身分等による差別的取扱は禁止されている。,労働基準法 / 厚生労働省,2026-05-19,approved,yes,6:4補正で誤問化
P4-069,part4,産後就業制限,intermediate,産後8週間以内の女性は、本人が希望すればどんな業務でも就業できる。,×,産後8週間は原則就業させてはならない。,労働基準法 / 厚生労働省,2026-05-19,approved,yes,6:4補正で誤問化
P4-070,part4,妊産婦保護,intermediate,妊産婦が請求した場合でも、時間外・休日・深夜労働を命じることができる。,×,請求があればこれらを命じてはならない。,労働基準法 / 厚生労働省,2026-05-19,approved,yes,batch1_reviewed
P4-071,part4,年少者深夜業,intermediate,18歳未満の年少者にも、自由に深夜業をさせてよい。,×,年少者の深夜業は原則禁止される。,労働基準法 / 厚生労働省,2026-05-19,approved,yes,6:4補正で誤問化
P4-072,part4,健康診断事後措置,intermediate,健康診断で異常所見が出ても、就業上の措置は不要である。,×,必要に応じて就業場所変更等の措置が必要である。,労働安全衛生法 / 厚生労働省,2026-05-19,approved,yes,6:4補正で誤問化
P4-073,part4,深夜業健康診断,intermediate,深夜業従事者に特別な頻度の健康診断は不要である。,×,深夜業従事者には6か月以内ごとの健康診断が必要である。,労働安全衛生法 / 厚生労働省,2026-05-19,approved,yes,6:4補正で誤問化
P4-074,part4,副業・通算労働時間,intermediate,副業先の労働時間は、本業の労働時間管理と無関係である。,×,副業・兼業では労働時間通算が問題となる。,厚生労働省 副業・兼業ガイドライン,2026-05-19,approved,yes,6:4補正で誤問化
P4-075,part4,法定帳簿保存,intermediate,労働者名簿や賃金台帳等は、法令に基づき一定期間保存が必要である。,○,使用者には法定帳簿保存義務がある。,労働基準法 / 厚生労働省,2026-05-19,approved,yes,batch1_reviewed
P4-076,part4,拘束時間・年,advanced,バス運転者の年間拘束時間には、改善基準告示上の上限が設けられている。,○,改善基準告示は年間拘束時間も定めている。,改善基準告示 / 国土交通省・厚生労働省,2026-05-19,approved,yes,batch1_reviewed
P4-077,part4,拘束時間・月,advanced,バス運転者の1か月拘束時間には、原則上限が定められている。,○,月間拘束時間も改善基準告示で制限される。,改善基準告示,2026-05-19,approved,yes,batch1_reviewed
P4-078,part4,休息期間,advanced,休息期間は、勤務終了から次の始業までの継続時間として与える必要がある。,○,休息期間は連続した自由時間として確保される。,改善基準告示,2026-05-19,approved,yes,batch1_reviewed
P4-079,part4,1日拘束時間,advanced,1日の拘束時間は、必要があれば制限なく延長できる。,×,拘束時間には原則と最大延長限度が定められている。,改善基準告示,2026-05-19,approved,yes,batch1_reviewed
P4-080,part4,連続運転時間,advanced,運転者の連続運転時間には上限があり、途中で休憩等により中断しなければならない。,○,連続運転時間上限と中断ルールが定められている。,改善基準告示,2026-05-19,approved,yes,batch1_reviewed
P4-081,part4,連続運転中断休憩,advanced,連続運転時間を中断する休憩等は、一定時間以上で分割して取得できる。,○,1回当たりの最低時間を満たして分割取得できる。,改善基準告示,2026-05-19,approved,yes,batch2_reviewed
P4-082,part4,1日運転時間,advanced,1日の運転時間は、所定の方法で平均して上限管理される。,○,2日平均等の考え方で上限が管理される。,改善基準告示,2026-05-19,approved,yes,batch2_reviewed
P4-083,part4,週運転時間,advanced,1週間の運転時間にも、平均して超えてはならない基準がある。,○,週運転時間の上限も定められている。,改善基準告示,2026-05-19,approved,yes,batch2_reviewed
P4-084,part4,手待時間,advanced,客待ちや荷待ちなどの手待時間は、労働時間に含まれる。,○,使用者の指揮命令下にある時間は労働時間となる。,労働基準法 / 改善基準告示,2026-05-19,approved,yes,batch2_reviewed
P4-085,part4,フェリー休息,advanced,フェリー乗船時間は、条件を満たしても休息期間として一切扱えない。,×,要件を満たせば休息期間扱いできる場合がある。,改善基準告示,2026-05-19,approved,yes,batch2_reviewed
P4-086,part4,2人乗務拘束時間,advanced,2人乗務時の拘束時間は、設備条件等に応じた基準があり、一律同じではない。,○,2人乗務でも一律の上限ではなく条件による差がある。,改善基準告示,2026-05-19,approved,yes,batch2_reviewed
P4-087,part4,予期し得ない事象の除外,advanced,事故や災害等の予期し得ない事象による遅延対応時間は、一定の条件下で拘束時間算入から除外できる。,○,例外的に除外が認められる仕組みがある。,改善基準告示,2026-05-19,approved,yes,batch2_reviewed
P4-088,part4,休日の定義,advanced,改善基準告示における休日は、原則として連続24時間ではなく、数時間の自由時間があれば足りる。,×,休日には所定の連続時間が必要である。,改善基準告示,2026-05-19,approved,yes,batch2_reviewed
P4-089,part4,週運転時間特例,advanced,所定の労使協定があれば、一定の範囲で週運転時間の特例が認められる場合がある。,○,貸切バス等では特例運用が認められる場合がある。,改善基準告示,2026-05-19,approved,yes,batch2_reviewed
P4-090,part4,夜行高速バス実車距離,advanced,夜行高速バス等のワンマン運行では、実車走行距離に原則上限の目安がある。,○,長距離ワンマン運行には安全確保のための目安がある。,国土交通省 貸切・高速バス安全対策資料,2026-05-19,approved,yes,batch2_reviewed
P4-091,part4,点呼記録保存,intermediate,貸切バスの点呼記録は、一定期間保存しなければならない。,○,旅客運送事業法令上、点呼記録保存義務がある。,国土交通省 バス事業,2026-05-19,approved,yes,batch2_reviewed
P4-092,part4,拘束時間と運転時間,advanced,運転以外の業務時間は、拘束時間にも運転時間にも含まれない。,×,運転以外でも指揮命令下にある時間は拘束時間に含まれる。,改善基準告示,2026-05-19,approved,yes,batch2_reviewed
P4-093,part4,改善基準告示違反,advanced,改善基準告示に違反した場合は、常に直ちに刑事罰だけで処理される。,×,行政指導や改善命令などを含めた対応があり、直ちに刑事罰だけとは限らない。,厚生労働省 / 国土交通省,2026-05-19,approved,yes,batch2_reviewed
P4-094,part4,拘束時間延長回数,advanced,1日の拘束時間延長は、所定の回数制限の範囲内でのみ認められる。,○,延長には回数・条件の制限がある。,改善基準告示,2026-05-19,approved,yes,batch2_reviewed
P4-095,part4,休憩時間性,advanced,客待ち中でも、完全に労働から解放され自由利用できるなら休憩時間と評価され得る。,○,休憩時間か労働時間かは自由利用性で判断される。,労働基準法 / 厚生労働省,2026-05-19,approved,yes,batch2_reviewed
P4-096,part4,副業・通算労働時間,intermediate,副業先の労働時間は、本業先の労働時間計算に全く影響しない。,×,副業・兼業では通算管理が必要な場合がある。,厚生労働省 副業・兼業ガイドライン,2026-05-19,approved,yes,batch2_reviewed
P4-097,part4,平均賃金,intermediate,平均賃金は、算定事由発生前3か月間の賃金総額を基礎として計算する。,○,平均賃金計算の基本式が定められている。,労働基準法 / 厚生労働省,2026-05-19,approved,yes,batch2_reviewed
P4-098,part4,平均賃金,intermediate,平均賃金は、その月の基本給だけで簡単に決めてよい。,×,法定の計算方法に従う必要がある。,労働基準法 / 厚生労働省,2026-05-19,approved,yes,batch2_reviewed
P4-099,part4,拘束時間の定義,advanced,拘束時間とは、始業から終業までの時間で、休憩や仮眠等の取扱いも含めて定義される。,○,拘束時間は単純な運転時間とは異なる概念である。,改善基準告示,2026-05-19,approved,yes,batch2_reviewed
P4-100,part4,拘束時間の定義,advanced,拘束時間には、休憩時間や指揮命令下の待機時間などを一切含めない。,×,拘束時間は始業から終業までの全体時間を基礎に考える。,改善基準告示,2026-05-19,approved,yes,batch2_reviewed
